path,class_
./data/data6/Garbage classification/Garbage classification/cardboard/cardboard209.jpg,cardboard
./data/data6/Garbage classification/Garbage classification/metal/metal70.jpg,metal
./data/data6/Garbage classification/Garbage classification/glass/glass340.jpg,glass
./data/data6/Garbage classification/Garbage classification/trash/trash98.jpg,trash
./data/data6/Garbage classification/Garbage classification/metal/metal31.jpg,metal
./data/data6/Garbage classification/Garbage classification/paper/paper381.jpg,paper
./data/data6/Garbage classification/Garbage classification/cardboard/cardboard8.jpg,cardboard
./data/data6/Garbage classification/Garbage classification/plastic/plastic291.jpg,plastic
./data/data6/Garbage classification/Garbage classification/paper/paper256.jpg,paper
./data/data6/Garbage classification/Garbage classification/paper/paper394.jpg,paper
./data/data6/Garbage classification/Garbage classification/glass/glass359.jpg,glass
./data/data6/Garbage classification/Garbage classification/trash/trash64.jpg,trash
./data/data6/Garbage classification/Garbage classification/paper/paper589.jpg,paper
./data/data6/Garbage classification/Garbage classification/metal/metal90.jpg,metal
./data/data6/Garbage classification/Garbage classification/glass/glass7.jpg,glass
./data/data6/Garbage classification/Garbage classification/paper/paper126.jpg,paper
./data/data6/Garbage classification/Garbage classification/metal/metal369.jpg,metal
./data/data6/Garbage classification/Garbage classification/paper/paper265.jpg,paper
./data/data6/Garbage classification/Garbage classification/metal/metal370.jpg,metal
./data/data6/Garbage classification/Garbage classification/glass/glass268.jpg,glass
./data/data6/Garbage classification/Garbage classification/metal/metal317.jpg,metal
./data/data6/Garbage classification/Garbage classification/plastic/plastic476.jpg,plastic
./data/data6/Garbage classification/Garbage classification/trash/trash47.jpg,trash
./data/data6/Garbage classification/Garbage classification/paper/paper53.jpg,paper
./data/data6/Garbage classification/Garbage classification/metal/metal386.jpg,metal
./data/data6/Garbage classification/Garbage classification/plastic/plastic215.jpg,plastic
./data/data6/Garbage classification/Garbage classification/glass/glass234.jpg,glass
./data/data6/Garbage classification/Garbage classification/paper/paper10.jpg,paper
./data/data6/Garbage classification/Garbage classification/glass/glass34.jpg,glass
./data/data6/Garbage classification/Garbage classification/cardboard/cardboard145.jpg,cardboard
./data/data6/Garbage classification/Garbage classification/metal/metal224.jpg,metal
./data/data6/Garbage classification/Garbage classification/glass/glass420.jpg,glass
./data/data6/Garbage classification/Garbage classification/glass/glass209.jpg,glass
./data/data6/Garbage classification/Garbage classification/plastic/plastic58.jpg,plastic
./data/data6/Garbage classification/Garbage classification/glass/glass414.jpg,glass
./data/data6/Garbage classification/Garbage classification/plastic/plastic74.jpg,plastic
./data/data6/Garbage classification/Garbage classification/metal/metal275.jpg,metal
./data/data6/Garbage classification/Garbage classification/paper/paper391.jpg,paper
./data/data6/Garbage classification/Garbage classification/trash/trash18.jpg,trash
./data/data6/Garbage classification/Garbage classification/cardboard/cardboard229.jpg,cardboard
./data/data6/Garbage classification/Garbage classification/glass/glass42.jpg,glass
./data/data6/Garbage classification/Garbage classification/plastic/plastic62.jpg,plastic
./data/data6/Garbage classification/Garbage classification/paper/paper24.jpg,paper
./data/data6/Garbage classification/Garbage classification/paper/paper425.jpg,paper
./data/data6/Garbage classification/Garbage classification/glass/glass175.jpg,glass
./data/data6/Garbage classification/Garbage classification/metal/metal196.jpg,metal
./data/data6/Garbage classification/Garbage classification/paper/paper530.jpg,paper
./data/data6/Garbage classification/Garbage classification/metal/metal384.jpg,metal
./data/data6/Garbage classification/Garbage classification/glass/glass257.jpg,glass
./data/data6/Garbage classification/Garbage classification/plastic/plastic362.jpg,plastic
./data/data6/Garbage classification/Garbage classification/paper/paper430.jpg,paper
./data/data6/Garbage classification/Garbage classification/cardboard/cardboard323.jpg,cardboard
./data/data6/Garbage classification/Garbage classification/cardboard/cardboard155.jpg,cardboard
./data/data6/Garbage classification/Garbage classification/glass/glass304.jpg,glass
./data/data6/Garbage classification/Garbage classification/paper/paper408.jpg,paper
./data/data6/Garbage classification/Garbage classification/plastic/plastic184.jpg,plastic
./data/data6/Garbage classification/Garbage classification/metal/metal139.jpg,metal
./data/data6/Garbage classification/Garbage classification/cardboard/cardboard254.jpg,cardboard
./data/data6/Garbage classification/Garbage classification/cardboard/cardboard199.jpg,cardboard
./data/data6/Garbage classification/Garbage classification/metal/metal110.jpg,metal
./data/data6/Garbage classification/Garbage classification/trash/trash34.jpg,trash
./data/data6/Garbage classification/Garbage classification/cardboard/cardboard256.jpg,cardboard
./data/data6/Garbage classification/Garbage classification/metal/metal336.jpg,metal
./data/data6/Garbage classification/Garbage classification/metal/metal162.jpg,metal
./data/data6/Garbage classification/Garbage classification/cardboard/cardboard244.jpg,cardboard
./data/data6/Garbage classification/Garbage classification/paper/paper168.jpg,paper
./data/data6/Garbage classification/Garbage classification/plastic/plastic102.jpg,plastic
./data/data6/Garbage classification/Garbage classification/paper/paper254.jpg,paper
./data/data6/Garbage classification/Garbage classification/glass/glass181.jpg,glass
./data/data6/Garbage classification/Garbage classification/cardboard/cardboard192.jpg,cardboard
./data/data6/Garbage classification/Garbage classification/plastic/plastic114.jpg,plastic
./data/data6/Garbage classification/Garbage classification/paper/paper431.jpg,paper
./data/data6/Garbage classification/Garbage classification/paper/paper191.jpg,paper
./data/data6/Garbage classification/Garbage classification/cardboard/cardboard341.jpg,cardboard
./data/data6/Garbage classification/Garbage classification/cardboard/cardboard131.jpg,cardboard
./data/data6/Garbage classification/Garbage classification/metal/metal237.jpg,metal
./data/data6/Garbage classification/Garbage classification/metal/metal189.jpg,metal
./data/data6/Garbage classification/Garbage classification/paper/paper549.jpg,paper
./data/data6/Garbage classification/Garbage classification/cardboard/cardboard20.jpg,cardboard
./data/data6/Garbage classification/Garbage classification/paper/paper270.jpg,paper
./data/data6/Garbage classification/Garbage classification/cardboard/cardboard95.jpg,cardboard
./data/data6/Garbage classification/Garbage classification/metal/metal282.jpg,metal
./data/data6/Garbage classification/Garbage classification/glass/glass396.jpg,glass
./data/data6/Garbage classification/Garbage classification/glass/glass422.jpg,glass
./data/data6/Garbage classification/Garbage classification/glass/glass232.jpg,glass
./data/data6/Garbage classification/Garbage classification/paper/paper288.jpg,paper
./data/data6/Garbage classification/Garbage classification/metal/metal6.jpg,metal
./data/data6/Garbage classification/Garbage classification/metal/metal221.jpg,metal
./data/data6/Garbage classification/Garbage classification/cardboard/cardboard156.jpg,cardboard
./data/data6/Garbage classification/Garbage classification/cardboard/cardboard23.jpg,cardboard
./data/data6/Garbage classification/Garbage classification/metal/metal105.jpg,metal
./data/data6/Garbage classification/Garbage classification/glass/glass277.jpg,glass
./data/data6/Garbage classification/Garbage classification/glass/glass418.jpg,glass
./data/data6/Garbage classification/Garbage classification/paper/paper124.jpg,paper
./data/data6/Garbage classification/Garbage classification/metal/metal203.jpg,metal
./data/data6/Garbage classification/Garbage classification/paper/paper446.jpg,paper
./data/data6/Garbage classification/Garbage classification/paper/paper84.jpg,paper
./data/data6/Garbage classification/Garbage classification/glass/glass341.jpg,glass
./data/data6/Garbage classification/Garbage classification/cardboard/cardboard344.jpg,cardboard
./data/data6/Garbage classification/Garbage classification/plastic/plastic344.jpg,plastic
./data/data6/Garbage classification/Garbage classification/paper/paper424.jpg,paper
./data/data6/Garbage classification/Garbage classification/glass/glass197.jpg,glass
./data/data6/Garbage classification/Garbage classification/paper/paper463.jpg,paper
./data/data6/Garbage classification/Garbage classification/metal/metal14.jpg,metal
./data/data6/Garbage classification/Garbage classification/glass/glass326.jpg,glass
./data/data6/Garbage classification/Garbage classification/metal/metal393.jpg,metal
./data/data6/Garbage classification/Garbage classification/plastic/plastic21.jpg,plastic
./data/data6/Garbage classification/Garbage classification/glass/glass415.jpg,glass
./data/data6/Garbage classification/Garbage classification/glass/glass10.jpg,glass
./data/data6/Garbage classification/Garbage classification/metal/metal280.jpg,metal
./data/data6/Garbage classification/Garbage classification/plastic/plastic313.jpg,plastic
./data/data6/Garbage classification/Garbage classification/paper/paper15.jpg,paper
./data/data6/Garbage classification/Garbage classification/metal/metal112.jpg,metal
./data/data6/Garbage classification/Garbage classification/plastic/plastic456.jpg,plastic
./data/data6/Garbage classification/Garbage classification/glass/glass63.jpg,glass
./data/data6/Garbage classification/Garbage classification/plastic/plastic295.jpg,plastic
./data/data6/Garbage classification/Garbage classification/glass/glass436.jpg,glass
./data/data6/Garbage classification/Garbage classification/paper/paper505.jpg,paper
./data/data6/Garbage classification/Garbage classification/cardboard/cardboard216.jpg,cardboard
./data/data6/Garbage classification/Garbage classification/paper/paper197.jpg,paper
./data/data6/Garbage classification/Garbage classification/cardboard/cardboard111.jpg,cardboard
./data/data6/Garbage classification/Garbage classification/trash/trash107.jpg,trash
./data/data6/Garbage classification/Garbage classification/plastic/plastic269.jpg,plastic
./data/data6/Garbage classification/Garbage classification/glass/glass312.jpg,glass
./data/data6/Garbage classification/Garbage classification/glass/glass438.jpg,glass
./data/data6/Garbage classification/Garbage classification/plastic/plastic196.jpg,plastic
./data/data6/Garbage classification/Garbage classification/paper/paper384.jpg,paper
./data/data6/Garbage classification/Garbage classification/cardboard/cardboard388.jpg,cardboard
./data/data6/Garbage classification/Garbage classification/paper/paper266.jpg,paper
./data/data6/Garbage classification/Garbage classification/paper/paper145.jpg,paper
./data/data6/Garbage classification/Garbage classification/paper/paper247.jpg,paper
./data/data6/Garbage classification/Garbage classification/glass/glass473.jpg,glass
./data/data6/Garbage classification/Garbage classification/plastic/plastic412.jpg,plastic
./data/data6/Garbage classification/Garbage classification/trash/trash132.jpg,trash
./data/data6/Garbage classification/Garbage classification/glass/glass314.jpg,glass
./data/data6/Garbage classification/Garbage classification/trash/trash114.jpg,trash
./data/data6/Garbage classification/Garbage classification/glass/glass287.jpg,glass
./data/data6/Garbage classification/Garbage classification/metal/metal239.jpg,metal
./data/data6/Garbage classification/Garbage classification/paper/paper12.jpg,paper
./data/data6/Garbage classification/Garbage classification/metal/metal232.jpg,metal
./data/data6/Garbage classification/Garbage classification/paper/paper327.jpg,paper
./data/data6/Garbage classification/Garbage classification/paper/paper223.jpg,paper
./data/data6/Garbage classification/Garbage classification/paper/paper257.jpg,paper
./data/data6/Garbage classification/Garbage classification/glass/glass82.jpg,glass
./data/data6/Garbage classification/Garbage classification/metal/metal271.jpg,metal
./data/data6/Garbage classification/Garbage classification/metal/metal98.jpg,metal
./data/data6/Garbage classification/Garbage classification/plastic/plastic213.jpg,plastic
./data/data6/Garbage classification/Garbage classification/glass/glass423.jpg,glass
./data/data6/Garbage classification/Garbage classification/paper/paper455.jpg,paper
./data/data6/Garbage classification/Garbage classification/paper/paper275.jpg,paper
./data/data6/Garbage classification/Garbage classification/paper/paper337.jpg,paper
./data/data6/Garbage classification/Garbage classification/paper/paper454.jpg,paper
./data/data6/Garbage classification/Garbage classification/glass/glass276.jpg,glass
./data/data6/Garbage classification/Garbage classification/paper/paper572.jpg,paper
./data/data6/Garbage classification/Garbage classification/paper/paper324.jpg,paper
./data/data6/Garbage classification/Garbage classification/glass/glass164.jpg,glass
./data/data6/Garbage classification/Garbage classification/paper/paper303.jpg,paper
./data/data6/Garbage classification/Garbage classification/plastic/plastic79.jpg,plastic
./data/data6/Garbage classification/Garbage classification/paper/paper140.jpg,paper
./data/data6/Garbage classification/Garbage classification/cardboard/cardboard171.jpg,cardboard
./data/data6/Garbage classification/Garbage classification/paper/paper208.jpg,paper
./data/data6/Garbage classification/Garbage classification/paper/paper30.jpg,paper
./data/data6/Garbage classification/Garbage classification/glass/glass198.jpg,glass
./data/data6/Garbage classification/Garbage classification/plastic/plastic458.jpg,plastic
./data/data6/Garbage classification/Garbage classification/paper/paper489.jpg,paper
./data/data6/Garbage classification/Garbage classification/glass/glass44.jpg,glass
./data/data6/Garbage classification/Garbage classification/paper/paper312.jpg,paper
./data/data6/Garbage classification/Garbage classification/glass/glass200.jpg,glass
./data/data6/Garbage classification/Garbage classification/trash/trash43.jpg,trash
./data/data6/Garbage classification/Garbage classification/metal/metal8.jpg,metal
./data/data6/Garbage classification/Garbage classification/paper/paper23.jpg,paper
./data/data6/Garbage classification/Garbage classification/plastic/plastic336.jpg,plastic
./data/data6/Garbage classification/Garbage classification/glass/glass361.jpg,glass
./data/data6/Garbage classification/Garbage classification/cardboard/cardboard5.jpg,cardboard
./data/data6/Garbage classification/Garbage classification/glass/glass52.jpg,glass
./data/data6/Garbage classification/Garbage classification/plastic/plastic53.jpg,plastic
./data/data6/Garbage classification/Garbage classification/plastic/plastic267.jpg,plastic
./data/data6/Garbage classification/Garbage classification/cardboard/cardboard116.jpg,cardboard
./data/data6/Garbage classification/Garbage classification/paper/paper480.jpg,paper
./data/data6/Garbage classification/Garbage classification/plastic/plastic67.jpg,plastic
./data/data6/Garbage classification/Garbage classification/glass/glass364.jpg,glass
./data/data6/Garbage classification/Garbage classification/cardboard/cardboard313.jpg,cardboard
./data/data6/Garbage classification/Garbage classification/plastic/plastic146.jpg,plastic
./data/data6/Garbage classification/Garbage classification/glass/glass207.jpg,glass
./data/data6/Garbage classification/Garbage classification/glass/glass154.jpg,glass
./data/data6/Garbage classification/Garbage classification/glass/glass366.jpg,glass
./data/data6/Garbage classification/Garbage classification/metal/metal234.jpg,metal
./data/data6/Garbage classification/Garbage classification/glass/glass274.jpg,glass
./data/data6/Garbage classification/Garbage classification/glass/glass299.jpg,glass
./data/data6/Garbage classification/Garbage classification/metal/metal373.jpg,metal
./data/data6/Garbage classification/Garbage classification/glass/glass323.jpg,glass
./data/data6/Garbage classification/Garbage classification/glass/glass468.jpg,glass
./data/data6/Garbage classification/Garbage classification/trash/trash56.jpg,trash
./data/data6/Garbage classification/Garbage classification/cardboard/cardboard215.jpg,cardboard
./data/data6/Garbage classification/Garbage classification/paper/paper225.jpg,paper
./data/data6/Garbage classification/Garbage classification/plastic/plastic348.jpg,plastic
./data/data6/Garbage classification/Garbage classification/metal/metal182.jpg,metal
./data/data6/Garbage classification/Garbage classification/glass/glass260.jpg,glass
./data/data6/Garbage classification/Garbage classification/cardboard/cardboard236.jpg,cardboard
./data/data6/Garbage classification/Garbage classification/paper/paper240.jpg,paper
./data/data6/Garbage classification/Garbage classification/metal/metal243.jpg,metal
./data/data6/Garbage classification/Garbage classification/metal/metal33.jpg,metal
./data/data6/Garbage classification/Garbage classification/metal/metal86.jpg,metal
./data/data6/Garbage classification/Garbage classification/glass/glass311.jpg,glass
./data/data6/Garbage classification/Garbage classification/cardboard/cardboard361.jpg,cardboard
./data/data6/Garbage classification/Garbage classification/plastic/plastic268.jpg,plastic
./data/data6/Garbage classification/Garbage classification/paper/paper4.jpg,paper
./data/data6/Garbage classification/Garbage classification/trash/trash57.jpg,trash
./data/data6/Garbage classification/Garbage classification/paper/paper517.jpg,paper
./data/data6/Garbage classification/Garbage classification/plastic/plastic370.jpg,plastic
./data/data6/Garbage classification/Garbage classification/metal/metal332.jpg,metal
./data/data6/Garbage classification/Garbage classification/trash/trash40.jpg,trash
./data/data6/Garbage classification/Garbage classification/plastic/plastic73.jpg,plastic
./data/data6/Garbage classification/Garbage classification/metal/metal292.jpg,metal
./data/data6/Garbage classification/Garbage classification/paper/paper147.jpg,paper
./data/data6/Garbage classification/Garbage classification/cardboard/cardboard248.jpg,cardboard
./data/data6/Garbage classification/Garbage classification/glass/glass216.jpg,glass
./data/data6/Garbage classification/Garbage classification/cardboard/cardboard90.jpg,cardboard
./data/data6/Garbage classification/Garbage classification/metal/metal126.jpg,metal
./data/data6/Garbage classification/Garbage classification/metal/metal259.jpg,metal
./data/data6/Garbage classification/Garbage classification/paper/paper68.jpg,paper
./data/data6/Garbage classification/Garbage classification/paper/paper40.jpg,paper
./data/data6/Garbage classification/Garbage classification/paper/paper594.jpg,paper
./data/data6/Garbage classification/Garbage classification/cardboard/cardboard288.jpg,cardboard
./data/data6/Garbage classification/Garbage classification/paper/paper382.jpg,paper
./data/data6/Garbage classification/Garbage classification/cardboard/cardboard238.jpg,cardboard
./data/data6/Garbage classification/Garbage classification/metal/metal93.jpg,metal
./data/data6/Garbage classification/Garbage classification/trash/trash108.jpg,trash
./data/data6/Garbage classification/Garbage classification/cardboard/cardboard269.jpg,cardboard
./data/data6/Garbage classification/Garbage classification/paper/paper101.jpg,paper
./data/data6/Garbage classification/Garbage classification/glass/glass149.jpg,glass
./data/data6/Garbage classification/Garbage classification/paper/paper429.jpg,paper
./data/data6/Garbage classification/Garbage classification/glass/glass145.jpg,glass
./data/data6/Garbage classification/Garbage classification/paper/paper104.jpg,paper
./data/data6/Garbage classification/Garbage classification/cardboard/cardboard326.jpg,cardboard
./data/data6/Garbage classification/Garbage classification/metal/metal363.jpg,metal
./data/data6/Garbage classification/Garbage classification/plastic/plastic225.jpg,plastic
./data/data6/Garbage classification/Garbage classification/metal/metal48.jpg,metal
./data/data6/Garbage classification/Garbage classification/glass/glass298.jpg,glass
./data/data6/Garbage classification/Garbage classification/plastic/plastic135.jpg,plastic
./data/data6/Garbage classification/Garbage classification/metal/metal24.jpg,metal
./data/data6/Garbage classification/Garbage classification/plastic/plastic240.jpg,plastic
./data/data6/Garbage classification/Garbage classification/glass/glass441.jpg,glass
./data/data6/Garbage classification/Garbage classification/metal/metal323.jpg,metal
./data/data6/Garbage classification/Garbage classification/plastic/plastic173.jpg,plastic
./data/data6/Garbage classification/Garbage classification/paper/paper319.jpg,paper
./data/data6/Garbage classification/Garbage classification/glass/glass310.jpg,glass
./data/data6/Garbage classification/Garbage classification/plastic/plastic263.jpg,plastic
./data/data6/Garbage classification/Garbage classification/glass/glass130.jpg,glass
./data/data6/Garbage classification/Garbage classification/metal/metal261.jpg,metal
./data/data6/Garbage classification/Garbage classification/paper/paper8.jpg,paper
./data/data6/Garbage classification/Garbage classification/plastic/plastic334.jpg,plastic
